gene symbol	(count) NOR_47_FA_228
A1BG	15
A1BG-AS1	6
A1CF	1
A2M	1001
A2ML1	33
A2MP1	73
A4GALT	0
A4GNT	0
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	1
AAGAB	9
AAK1	54
AAMP	2
AANAT	11
AARS	0
AARS2	31
AARSD1	22
AASDH	0
AASDHPPT	0
AASS	7
AATF	1
AATK	1
AATK-AS1	2
ABAT	2
ABCA1	3
ABCA10	6
ABCA11P	17
ABCA12	5
ABCA13	11
ABCA17P	1
ABCA2	2
ABCA3	4
ABCA4	0
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	43
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	2
ABCB5	14
ABCB6	2
ABCB7	0
ABCB8	2
ABCB9	2
ABCC1	3
ABCC10	1
ABCC11	0
ABCC12	0
ABCC13	8
ABCC2	0
ABCC3	2
ABCC4	0
ABCC5	0
ABCC6	5
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	154
ABCD1	1
ABCD2	0
ABCD3	6
ABCD4	0
ABCE1	9
ABCF1	7
ABCF2	3
ABCF3	0
ABCG1	4
ABCG2	0
ABCG4	0
ABCG5	1
ABCG8	0
ABHD1	27
ABHD10	0
ABHD11	11
ABHD12	1
ABHD12B	4
ABHD13	1
ABHD14A	5
ABHD14B	1
ABHD15	47
ABHD16A	0
ABHD16B	63
ABHD2	21
ABHD3	4
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	2
ABI1	12
ABI2	33
ABI3	2
ABI3BP	13
ABL1	2
ABL2	39
ABLIM1	2
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	16
ABRA	23
ABT1	3
ABTB1	0
ABTB2	12
ACAA1	4
ACAA2	1
ACACA	14
ACACB	9
ACAD10	0
ACAD11	28
ACAD8	6
ACAD9	0
ACADL	0
ACADM	0
ACADS	0
ACADSB	164
ACADVL	35
ACAN	9
ACAP1	9
ACAP2	9
ACAP3	0
ACAT1	32
ACAT2	23
ACBD3	2
ACBD4	18
ACBD5	7
ACBD6	0
ACBD7	63
ACCS	0
ACCSL	0
ACD	12
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	1
ACHE	0
ACIN1	18
ACLY	2
ACMSD	10
ACN9	1
ACO1	22
ACO2	72
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	156
ACOT2	20
ACOT4	1
ACOT6	0
ACOT7	0
ACOT8	12
ACOT9	0
ACOX1	29
ACOX2	2
ACOX3	0
ACOXL	0
ACP1	0
ACP2	7
ACP5	6
ACP6	0
ACPL2	0
ACPP	2
ACPT	13
ACR	0
ACRBP	0
ACRC	0
ACRV1	0
ACSBG1	4
ACSBG2	8
ACSF2	0
ACSF3	0
ACSL1	1
ACSL3	1
ACSL4	2
ACSL5	20
ACSL6	14
ACSM1	2
ACSM2A	0
ACSM2B	0
ACSM3	9
ACSM4	1
ACSM5	0
ACSS1	3
ACSS2	1
ACSS3	2
ACTA1	2
ACTA2	35
ACTB	25
ACTBL2	0
ACTC1	0
ACTG1	15
ACTG2	0
ACTL6A	4
ACTL6B	0
ACTL7A	5
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	3
ACTN2	0
ACTN3	0
ACTN4	16
ACTR10	5
ACTR1A	2
ACTR1B	2
ACTR2	4
ACTR3	1
ACTR3B	1
ACTR3BP2	1
ACTR3C	1
ACTR5	0
ACTR6	0
ACTR8	0
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	1
ACVR1C	1
ACVR2A	58
ACVR2B	5
ACVRL1	4
ACY3	0
ACYP1	0
ACYP2	2
ADA	4
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	0
ADAM11	0
ADAM12	4
ADAM15	2
ADAM17	52
ADAM18	0
ADAM19	2
ADAM2	0
ADAM20	0
ADAM21	2
ADAM21P1	2
ADAM22	29
ADAM23	0
ADAM28	26
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	1
ADAM3A	0
ADAM6	0
ADAM7	0
ADAM8	3
ADAM9	0
ADAMDEC1	6
ADAMTS1	0
ADAMTS10	2
ADAMTS12	0
ADAMTS13	4
ADAMTS14	0
ADAMTS15	0
ADAMTS16	1
ADAMTS17	4
ADAMTS18	0
ADAMTS19	0
ADAMTS2	4
ADAMTS20	0
ADAMTS3	0
ADAMTS4	17
ADAMTS5	0
ADAMTS6	0
ADAMTS7	1
ADAMTS8	2
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	20
ADAMTSL3	0
ADAMTSL4	119
ADAMTSL5	4
ADAP1	1
ADAP2	0
ADAR	17
ADARB1	0
ADARB2	0
ADAT1	39
ADAT2	3
ADC	1
ADCK1	0
ADCK2	1
ADCK3	0
ADCK4	0
ADCK5	1
ADCY1	29
ADCY10	0
ADCY2	1
ADCY3	25
ADCY4	1
ADCY5	15
ADCY6	9
ADCY7	112
ADCY8	0
ADCY9	1
ADCYAP1	0
ADCYAP1R1	0
ADD1	7
ADD2	0
ADD3	6
ADH1A	2
ADH1B	1
ADH1C	0
ADH4	2
ADH5	7
ADH6	4
ADH7	0
ADHFE1	2
ADI1	0
ADIG	0
ADIPOQ	20
ADIPOR1	1
ADIPOR2	2
ADK	0
ADM	1
ADM2	20
ADNP	77
ADNP2	0
ADO	4
ADORA1	0
ADORA2A	0
ADORA2B	6
ADORA3	0
ADPGK	2
ADPRH	1
ADPRHL1	0
ADPRHL2	1
ADRA1A	15
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	0
ADRB2	2
ADRB3	0
ADRBK1	6
ADRBK2	24
ADRM1	1
ADSL	0
ADSS	8
ADSSL1	0
AEBP1	6
AEBP2	6
AEN	1
AES	3
AFAP1	0
AFAP1-AS1	18
AFAP1L1	0
AFAP1L2	1
AFF1	4
AFF2	0
AFF3	30
AFF4	7
AFG3L1P	0
AFG3L2	23
AFM	0
AFMID	9
AFP	0
AFTPH	3
AGA	3
AGAP1	0
AGAP2	0
AGAP3	1
AGAP4	0
AGAP5	0
