gene symbol	(count) NOR_46_MA_288
A1BG	27
A1BG-AS1	9
A1CF	25
A2M	1010
A2ML1	61
A2MP1	62
A4GALT	0
A4GNT	0
AA06	0
AAAS	0
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	1
AADACL4	0
AADAT	2
AAGAB	19
AAK1	117
AAMP	5
AANAT	17
AARS	3
AARS2	71
AARSD1	52
AASDH	1
AASDHPPT	0
AASS	28
AATF	2
AATK	1
AATK-AS1	0
ABAT	2
ABCA1	1
ABCA10	15
ABCA11P	40
ABCA12	0
ABCA13	19
ABCA17P	2
ABCA2	1
ABCA3	2
ABCA4	1
ABCA6	0
ABCA7	5
ABCA8	0
ABCA9	53
ABCB1	1
ABCB10	0
ABCB11	0
ABCB4	4
ABCB5	42
ABCB6	6
ABCB7	1
ABCB8	2
ABCB9	2
ABCC1	2
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	11
ABCC2	0
ABCC3	2
ABCC4	0
ABCC5	0
ABCC6	17
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	376
ABCD1	2
ABCD2	0
ABCD3	21
ABCD4	0
ABCE1	19
ABCF1	14
ABCF2	7
ABCF3	1
ABCG1	1
ABCG2	0
ABCG4	0
ABCG5	1
ABCG8	1
ABHD1	39
ABHD10	1
ABHD11	44
ABHD12	5
ABHD12B	23
ABHD13	0
ABHD14A	4
ABHD14B	2
ABHD15	59
ABHD16A	4
ABHD16B	104
ABHD2	46
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	6
ABI1	12
ABI2	59
ABI3	33
ABI3BP	31
ABL1	1
ABL2	65
ABLIM1	4
ABLIM2	0
ABLIM3	0
ABO	2
ABP1	0
ABR	62
ABRA	49
ABT1	7
ABTB1	0
ABTB2	35
ACAA1	4
ACAA2	3
ACACA	33
ACACB	11
ACAD10	0
ACAD11	54
ACAD8	24
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	262
ACADVL	62
ACAN	17
ACAP1	7
ACAP2	22
ACAP3	0
ACAT1	88
ACAT2	47
ACBD3	9
ACBD4	52
ACBD5	17
ACBD6	4
ACBD7	147
ACCS	1
ACCSL	0
ACD	18
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	1
ACHE	1
ACIN1	56
ACLY	7
ACMSD	17
ACN9	2
ACO1	50
ACO2	105
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	252
ACOT2	15
ACOT4	1
ACOT6	0
ACOT7	4
ACOT8	10
ACOT9	1
ACOX1	47
ACOX2	0
ACOX3	0
ACOXL	1
ACP1	1
ACP2	16
ACP5	11
ACP6	0
