gene symbol	(count) FRA_46_FA_336
A1BG	46
A1BG-AS1	12
A1CF	15
A2M	1679
A2ML1	82
A2MP1	146
A4GALT	0
A4GNT	0
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	1
AADACL4	0
AADAT	2
AAGAB	21
AAK1	187
AAMP	10
AANAT	26
AARS	2
AARS2	93
AARSD1	45
AASDH	1
AASDHPPT	1
AASS	30
AATF	8
AATK	2
AATK-AS1	0
ABAT	1
ABCA1	5
ABCA10	21
ABCA11P	62
ABCA12	8
ABCA13	24
ABCA17P	2
ABCA2	2
ABCA3	16
ABCA4	0
ABCA6	0
ABCA7	7
ABCA8	0
ABCA9	92
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	13
ABCB5	60
ABCB6	5
ABCB7	0
ABCB8	7
ABCB9	10
ABCC1	6
ABCC10	1
ABCC11	0
ABCC12	0
ABCC13	10
ABCC2	0
ABCC3	4
ABCC4	0
ABCC5	0
ABCC6	26
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	539
ABCD1	2
ABCD2	0
ABCD3	20
ABCD4	3
ABCE1	33
ABCF1	26
ABCF2	16
ABCF3	1
ABCG1	5
ABCG2	0
ABCG4	0
ABCG5	3
ABCG8	1
ABHD1	116
ABHD10	0
ABHD11	53
ABHD12	12
ABHD12B	14
ABHD13	1
ABHD14A	7
ABHD14B	2
ABHD15	74
ABHD16A	0
ABHD16B	119
ABHD2	53
ABHD3	3
ABHD4	1
ABHD5	1
ABHD6	0
ABHD8	8
ABI1	40
ABI2	91
ABI3	8
ABI3BP	45
ABL1	9
ABL2	113
ABLIM1	9
ABLIM2	1
ABLIM3	0
ABO	0
ABP1	1
ABR	30
ABRA	79
ABT1	6
ABTB1	1
ABTB2	40
ACAA1	8
ACAA2	2
ACACA	44
ACACB	7
ACAD10	0
ACAD11	61
ACAD8	40
ACAD9	2
ACADL	1
ACADM	3
ACADS	2
ACADSB	442
ACADVL	130
ACAN	30
ACAP1	35
ACAP2	36
ACAP3	3
ACAT1	93
ACAT2	90
ACBD3	21
ACBD4	38
ACBD5	29
ACBD6	5
ACBD7	241
ACCS	0
ACCSL	1
ACD	23
ACE	1
ACE2	0
ACER1	0
ACER2	1
ACER3	3
ACHE	0
ACIN1	98
ACLY	10
ACMSD	19
ACN9	1
ACO1	63
ACO2	176
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	437
ACOT2	40
ACOT4	1
ACOT6	1
ACOT7	0
ACOT8	10
ACOT9	0
ACOX1	60
ACOX2	3
ACOX3	1
ACOXL	0
ACP1	1
ACP2	15
ACP5	24
ACP6	0
ACPL2	0
ACPP	8
ACPT	33
ACR	0
ACRBP	6
ACRC	0
ACRV1	3
ACSBG1	5
ACSBG2	9
ACSF2	0
ACSF3	2
ACSL1	0
ACSL3	2
ACSL4	1
ACSL5	89
ACSL6	38
ACSM1	9
ACSM2A	2
ACSM2B	0
ACSM3	24
ACSM4	6
ACSM5	0
ACSS1	11
ACSS2	10
ACSS3	0
ACTA1	1
ACTA2	117
ACTB	186
ACTBL2	0
ACTC1	0
ACTG1	97
ACTG2	0
ACTL6A	26
ACTL6B	1
ACTL7A	12
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	14
ACTN2	0
ACTN3	0
ACTN4	29
ACTR10	18
ACTR1A	12
ACTR1B	0
ACTR2	9
ACTR3	12
ACTR3B	0
ACTR3BP2	7
ACTR3C	2
ACTR5	0
