gene symbol	(count) FRA_49_MA_673
A1BG	11
A1BG-AS1	3
A1CF	2
A2M	777
A2ML1	22
A2MP1	48
A4GALT	0
A4GNT	0
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	1
AADACL4	0
AADAT	2
AAGAB	5
AAK1	41
AAMP	2
AANAT	4
AARS	1
AARS2	25
AARSD1	9
AASDH	0
AASDHPPT	0
AASS	10
AATF	1
AATK	0
AATK-AS1	0
ABAT	0
ABCA1	1
ABCA10	2
ABCA11P	17
ABCA12	0
ABCA13	10
ABCA17P	1
ABCA2	0
ABCA3	2
ABCA4	0
ABCA6	1
ABCA7	1
ABCA8	0
ABCA9	30
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	3
ABCB5	17
ABCB6	2
ABCB7	0
ABCB8	4
ABCB9	2
ABCC1	2
ABCC10	1
ABCC11	0
ABCC12	0
ABCC13	7
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	0
ABCC6	4
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	105
ABCD1	2
ABCD2	1
ABCD3	9
ABCD4	0
ABCE1	7
ABCF1	7
ABCF2	3
ABCF3	0
ABCG1	1
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	23
ABHD10	0
ABHD11	15
ABHD12	4
ABHD12B	2
ABHD13	0
ABHD14A	0
ABHD14B	1
ABHD15	25
ABHD16A	0
ABHD16B	35
ABHD2	11
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	1
ABHD8	1
ABI1	8
ABI2	22
ABI3	1
ABI3BP	19
ABL1	1
ABL2	26
ABLIM1	0
ABLIM2	1
ABLIM3	0
ABO	0
ABP1	0
ABR	8
ABRA	7
ABT1	0
ABTB1	0
ABTB2	8
ACAA1	2
ACAA2	2
ACACA	14
ACACB	1
ACAD10	0
ACAD11	10
ACAD8	10
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	119
ACADVL	19
ACAN	4
ACAP1	2
ACAP2	9
ACAP3	0
ACAT1	25
ACAT2	10
ACBD3	3
ACBD4	11
ACBD5	3
ACBD6	0
ACBD7	39
ACCS	0
ACCSL	0
ACD	4
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	15
ACLY	1
ACMSD	5
ACN9	0
ACO1	10
ACO2	37
ACOT1	0
ACOT11	2
ACOT12	0
ACOT13	104
ACOT2	8
ACOT4	0
ACOT6	0
ACOT7	2
ACOT8	3
ACOT9	0
ACOX1	9
ACOX2	0
ACOX3	0
ACOXL	0
ACP1	0
ACP2	5
ACP5	6
ACP6	0
ACPL2	0
ACPP	5
ACPT	5
ACR	0
ACRBP	0
ACRC	2
ACRV1	0
ACSBG1	1
ACSBG2	1
ACSF2	2
ACSF3	1
ACSL1	1
ACSL3	0
ACSL4	0
ACSL5	24
ACSL6	13
ACSM1	2
ACSM2A	1
ACSM2B	0
ACSM3	4
ACSM4	1
ACSM5	0
ACSS1	3
ACSS2	2
ACSS3	0
ACTA1	0
ACTA2	24
ACTB	21
ACTBL2	0
ACTC1	0
ACTG1	12
ACTG2	0
ACTL6A	12
ACTL6B	0
ACTL7A	3
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	0
ACTN2	0
ACTN3	0
ACTN4	9
ACTR10	4
ACTR1A	2
ACTR1B	2
ACTR2	2
ACTR3	2
ACTR3B	3
ACTR3BP2	1
ACTR3C	2
ACTR5	0
ACTR6	0
ACTR8	0
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	0
ACVR1C	0
ACVR2A	41
ACVR2B	4
ACVRL1	3
ACY3	0
ACYP1	0
ACYP2	2
ADA	4
ADAD1	0
ADAD2	1
ADAL	0
ADAM10	1
ADAM11	0
ADAM12	3
ADAM15	0
ADAM17	28
ADAM18	0
ADAM19	1
ADAM2	0
ADAM20	0
ADAM21	1
ADAM21P1	0
ADAM22	26
ADAM23	0
ADAM28	13
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	1
ADAM3A	0
ADAM6	0
ADAM7	0
ADAM8	3
ADAM9	0
ADAMDEC1	3
ADAMTS1	0
ADAMTS10	0
ADAMTS12	0
ADAMTS13	3
ADAMTS14	0
ADAMTS15	0
ADAMTS16	0
ADAMTS17	7
ADAMTS18	0
ADAMTS19	0
ADAMTS2	3
ADAMTS20	0
ADAMTS3	0
ADAMTS4	8
ADAMTS5	0
ADAMTS6	0
ADAMTS7	3
ADAMTS8	1
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	8
ADAMTSL3	0
ADAMTSL4	73
ADAMTSL5	1
ADAP1	2
ADAP2	0
ADAR	19
ADARB1	2
ADARB2	5
ADAT1	24
ADAT2	3
ADC	2
ADCK1	0
ADCK2	3
ADCK3	1
ADCK4	1
ADCK5	2
ADCY1	16
ADCY10	0
ADCY2	4
ADCY3	12
ADCY4	0
ADCY5	4
ADCY6	13
ADCY7	76
ADCY8	0
ADCY9	1
ADCYAP1	0
ADCYAP1R1	0
ADD1	5
ADD2	0
ADD3	4
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	6
ADH5	4
ADH6	2
ADH7	0
ADHFE1	0
ADI1	1
ADIG	0
ADIPOQ	16
ADIPOR1	1
ADIPOR2	2
ADK	0
ADM	0
ADM2	14
ADNP	36
ADNP2	0
ADO	1
ADORA1	0
ADORA2A	0
ADORA2B	9
ADORA3	0
ADPGK	3
ADPRH	6
ADPRHL1	0
ADPRHL2	1
ADRA1A	13
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	0
ADRB2	1
ADRB3	0
ADRBK1	3
ADRBK2	12
ADRM1	2
ADSL	0
ADSS	5
ADSSL1	0
AEBP1	4
AEBP2	1
AEN	0
AES	7
AFAP1	2
AFAP1-AS1	19
AFAP1L1	0
AFAP1L2	0
AFF1	4
AFF2	0
AFF3	17
AFF4	8
AFG3L1P	0
AFG3L2	8
AFM	0
AFMID	8
AFP	0
AFTPH	0
AGA	2
AGAP1	1
AGAP2	1
AGAP3	2
AGAP4	0
AGAP5	1
AGAP6	0
AGAP7	0
AGAP8	0
AGAP9	0
AGBL1	0
AGBL2	0
AGBL3	5
AGBL4	0
AGBL5	236
AGER	2
AGFG1	0
AGFG2	3
AGGF1	5
AGK	34
AGL	1
AGMAT	32
AGMO	9
AGPAT1	3
AGPAT2	0
AGPAT3	0
AGPAT4	53
AGPAT5	0
AGPAT6	3
AGPAT9	0
AGPHD1	0
AGPS	1
AGR2	2
AGR3	0
AGRN	0
AGRP	2
AGT	0
AGTPBP1	2
AGTR1	0
AGTR2	0
AGTRAP	1
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	16
AHCTF1	1
AHCY	1
AHCYL1	1
AHCYL2	9
AHDC1	1
AHI1	6
AHNAK	30
AHNAK2	17
AHR	14
AHSA1	1
AHSA2	14
AHSG	0
AHSP	0
AICDA	16
AIDA	19
AIF1	0
AIF1L	0
AIFM1	7
AIFM2	9
AIFM3	1
AIG1	0
AIM1	19
AIM1L	9
AIM2	1
AIMP1	17
AIMP2	7
AIP	1
AIPL1	11
AIRE	4
AJAP1	0
AK1	14
AK2	0
AK3	13
AK4	0
AK5	18
AK7	0
AK8	0
AKAP1	1
AKAP10	0
AKAP11	0
AKAP12	14
AKAP13	17
AKAP14	1
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	70
AKAP6	0
AKAP7	7
AKAP8	8
AKAP8L	4
AKAP9	2
AKIP1	9
AKIRIN1	9
AKIRIN2	1
AKNA	16
AKNAD1	0
AKR1A1	0
AKR1B1	0
AKR1B10	2
AKR1B15	1
AKR1C1	0
AKR1C2	0
AKR1C3	2
AKR1C4	3
AKR1CL1	0
AKR1D1	9
AKR1E2	0
AKR7A2	1
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	5
AKT1S1	2
AKT2	1
AKT3	16
AKTIP	73
ALAD	1
ALAS1	1
ALAS2	0
ALB	0
ALCAM	0
ALDH16A1	0
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	0
ALDH1B1	7
ALDH1L1	0
ALDH1L2	10
ALDH2	0
ALDH3A1	0
ALDH3A2	15
ALDH3B1	15
ALDH3B2	0
ALDH4A1	0
ALDH5A1	8
ALDH6A1	2
ALDH7A1	0
ALDH8A1	4
ALDH9A1	9
ALDOA	6
ALDOB	2
ALDOC	0
ALG1	36
ALG10	0
ALG10B	2
ALG11	10
ALG12	8
ALG13	0
ALG14	0
ALG1L	22
ALG1L2	3
ALG2	0
ALG3	0
ALG5	1
ALG6	2
ALG8	0
ALG9	9
ALK	21
ALKBH1	0
ALKBH2	1
ALKBH3	0
ALKBH4	12
ALKBH5	5
ALKBH6	0
ALKBH7	0
ALKBH8	0
ALLC	0
ALMS1	0
ALMS1P	0
ALOX12	31
ALOX12B	0
ALOX12P2	6
ALOX15	2
ALOX15B	0
ALOX5	7
ALOX5AP	1
ALOXE3	0
ALPI	0
ALPK1	7
ALPK2	0
ALPK3	0
ALPL	0
ALPP	3
ALPPL2	0
ALS2	5
ALS2CL	1
ALS2CR11	3
ALS2CR12	20
ALS2CR8	19
ALX1	0
ALX3	4
ALX4	3
AMACR	1
AMBN	0
AMBP	1
AMBRA1	0
AMD1	0
AMDHD1	0
AMDHD2	0
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	1
AMIGO1	9
AMIGO2	1
AMIGO3	15
AMMECR1	14
AMMECR1L	0
AMN	0
AMN1	3
AMOT	0
AMOTL1	6
AMOTL2	0
AMPD1	0
AMPD2	0
AMPD3	1
AMPH	15
AMT	55
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	9
AMZ2	2
AMZ2P1	0
ANAPC1	0
ANAPC10	0
ANAPC11	1
ANAPC13	3
ANAPC16	57
ANAPC2	0
ANAPC4	0
ANAPC5	1
ANAPC7	1
ANG	0
ANGEL1	1
ANGEL2	4
ANGPT1	0
ANGPT2	53
ANGPT4	1
ANGPTL1	68
ANGPTL2	7
ANGPTL3	7
ANGPTL4	4
ANGPTL5	0
ANGPTL6	45
ANGPTL7	11
ANK1	0
ANK2	0
ANK3	0
ANKAR	1
ANKDD1A	14
ANKDD1B	0
ANKFN1	0
ANKFY1	7
ANKH	126
ANKHD1	6
ANKIB1	0
ANKK1	7
ANKLE1	30
ANKLE2	1
ANKMY1	0
ANKMY2	0
ANKRA2	0
ANKRD1	1
ANKRD10	1
ANKRD11	12
ANKRD12	26
ANKRD13A	9
ANKRD13B	0
ANKRD13C	1
ANKRD13D	1
ANKRD16	16
ANKRD17	0
ANKRD18A	0
ANKRD19P	21
ANKRD2	0
ANKRD20A3	1
ANKRD20A4	0
ANKRD20A5P	1
ANKRD20A9P	462
ANKRD22	6
ANKRD23	8
ANKRD24	0
ANKRD26	0
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	0
ANKRD28	18
ANKRD29	0
ANKRD30A	0
