gene symbol	(count) NOR_48_MW_990
A1BG	18
A1BG-AS1	10
A1CF	10
A2M	686
A2ML1	38
A2MP1	30
A4GALT	0
A4GNT	0
AA06	0
AAAS	0
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	3
AAGAB	7
AAK1	82
AAMP	6
AANAT	17
AARS	1
AARS2	54
AARSD1	24
AASDH	0
AASDHPPT	0
AASS	15
AATF	2
AATK	0
AATK-AS1	0
ABAT	1
ABCA1	3
ABCA10	6
ABCA11P	25
ABCA12	0
ABCA13	9
ABCA17P	0
ABCA2	3
ABCA3	2
ABCA4	0
ABCA6	0
ABCA7	5
ABCA8	0
ABCA9	54
ABCB1	0
ABCB10	3
ABCB11	0
ABCB4	6
ABCB5	31
ABCB6	5
ABCB7	1
ABCB8	5
ABCB9	1
ABCC1	3
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	4
ABCC2	0
ABCC3	4
ABCC4	0
ABCC5	1
ABCC6	14
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	182
ABCD1	1
ABCD2	0
ABCD3	17
ABCD4	1
ABCE1	16
ABCF1	12
ABCF2	16
ABCF3	1
ABCG1	7
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	2
ABHD1	55
ABHD10	0
ABHD11	23
ABHD12	2
ABHD12B	35
ABHD13	0
ABHD14A	3
ABHD14B	4
ABHD15	41
ABHD16A	1
ABHD16B	67
ABHD2	39
ABHD3	1
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	3
ABI1	15
ABI2	57
ABI3	49
ABI3BP	18
ABL1	3
ABL2	58
ABLIM1	3
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	39
ABRA	27
ABT1	1
ABTB1	0
ABTB2	17
ACAA1	8
ACAA2	3
ACACA	22
ACACB	7
ACAD10	0
ACAD11	23
ACAD8	13
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	199
ACADVL	35
ACAN	10
ACAP1	14
ACAP2	21
ACAP3	2
ACAT1	28
ACAT2	47
ACBD3	8
ACBD4	22
ACBD5	24
ACBD6	0
ACBD7	95
ACCS	0
ACCSL	0
ACD	8
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	40
ACLY	1
ACMSD	8
ACN9	0
ACO1	31
ACO2	66
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	208
ACOT2	15
ACOT4	1
ACOT6	1
ACOT7	1
ACOT8	17
ACOT9	0
ACOX1	22
ACOX2	2
ACOX3	0
ACOXL	1
ACP1	1
ACP2	7
ACP5	1
ACP6	0
ACPL2	0
ACPP	3
ACPT	14
ACR	0
ACRBP	4
ACRC	0
ACRV1	1
ACSBG1	4
ACSBG2	1
ACSF2	1
ACSF3	2
ACSL1	0
ACSL3	1
ACSL4	1
ACSL5	22
ACSL6	20
ACSM1	6
ACSM2A	1
ACSM2B	0
ACSM3	8
ACSM4	2
ACSM5	0
ACSS1	7
ACSS2	4
ACSS3	2
ACTA1	0
ACTA2	46
ACTB	72
ACTBL2	0
ACTC1	0
ACTG1	19
ACTG2	0
ACTL6A	13
ACTL6B	0
ACTL7A	6
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	7
ACTN2	0
ACTN3	0
ACTN4	10
ACTR10	6
ACTR1A	5
ACTR1B	1
ACTR2	7
ACTR3	5
ACTR3B	1
ACTR3BP2	1
ACTR3C	1
ACTR5	0
ACTR6	1
ACTR8	1
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	0
ACVR1C	0
ACVR2A	56
ACVR2B	8
ACVRL1	2
ACY3	0
ACYP1	0
ACYP2	4
ADA	4
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	0
ADAM11	1
ADAM12	7
ADAM15	1
ADAM17	50
ADAM18	0
ADAM19	0
ADAM2	0
ADAM20	0
ADAM21	4
ADAM21P1	0
ADAM22	49
ADAM23	0
ADAM28	7
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	1
ADAM3A	0
ADAM6	0
ADAM7	2
ADAM8	13
ADAM9	1
ADAMDEC1	2
ADAMTS1	0
ADAMTS10	1
ADAMTS12	0
ADAMTS13	5
ADAMTS14	0
ADAMTS15	0
ADAMTS16	0
ADAMTS17	10
ADAMTS18	0
ADAMTS19	0
ADAMTS2	7
ADAMTS20	0
ADAMTS3	0
ADAMTS4	21
ADAMTS5	0
ADAMTS6	0
ADAMTS7	8
ADAMTS8	4
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	22
ADAMTSL3	0
ADAMTSL4	301
ADAMTSL5	3
ADAP1	5
ADAP2	0
ADAR	30
ADARB1	1
ADARB2	5
ADAT1	57
ADAT2	6
ADC	2
ADCK1	0
ADCK2	4
ADCK3	3
ADCK4	0
ADCK5	1
ADCY1	37
ADCY10	2
ADCY2	2
ADCY3	37
ADCY4	3
ADCY5	15
ADCY6	22
ADCY7	115
ADCY8	0
ADCY9	1
ADCYAP1	0
ADCYAP1R1	0
ADD1	10
ADD2	0
ADD3	4
ADH1A	1
ADH1B	0
ADH1C	0
ADH4	4
ADH5	22
ADH6	7
ADH7	0
ADHFE1	0
ADI1	3
ADIG	0
ADIPOQ	29
ADIPOR1	3
ADIPOR2	6
ADK	0
ADM	0
ADM2	27
ADNP	55
ADNP2	1
ADO	4
ADORA1	0
ADORA2A	3
ADORA2B	11
ADORA3	0
ADPGK	8
ADPRH	1
ADPRHL1	0
ADPRHL2	1
ADRA1A	27
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	0
ADRB2	1
ADRB3	1
ADRBK1	20
ADRBK2	42
ADRM1	5
ADSL	1
ADSS	7
ADSSL1	0
AEBP1	2
AEBP2	2
AEN	0
AES	7
AFAP1	3
AFAP1-AS1	20
AFAP1L1	2
AFAP1L2	0
AFF1	13
AFF2	0
AFF3	32
AFF4	8
AFG3L1P	0
AFG3L2	15
AFM	0
AFMID	22
AFP	0
AFTPH	4
AGA	2
AGAP1	0
AGAP2	2
AGAP3	0
AGAP4	1
AGAP5	0
AGAP6	1
AGAP7	1
AGAP8	0
AGAP9	0
AGBL1	0
AGBL2	0
AGBL3	10
AGBL4	0
AGBL5	494
AGER	17
AGFG1	0
AGFG2	5
AGGF1	7
AGK	64
AGL	0
AGMAT	51
AGMO	26
AGPAT1	1
AGPAT2	1
AGPAT3	1
AGPAT4	72
AGPAT5	1
AGPAT6	8
AGPAT9	0
AGPHD1	0
AGPS	2
AGR2	0
AGR3	0
AGRN	0
AGRP	10
AGT	0
AGTPBP1	0
AGTR1	0
AGTR2	0
AGTRAP	1
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	33
AHCTF1	2
AHCY	4
AHCYL1	1
AHCYL2	16
AHDC1	5
AHI1	18
AHNAK	73
AHNAK2	40
AHR	14
AHSA1	0
AHSA2	32
AHSG	0
AHSP	0
AICDA	21
AIDA	44
AIF1	4
AIF1L	2
AIFM1	18
AIFM2	14
AIFM3	0
AIG1	0
AIM1	52
AIM1L	15
AIM2	7
AIMP1	33
AIMP2	34
AIP	3
AIPL1	40
AIRE	13
AJAP1	0
AK1	34
AK2	5
AK3	33
AK4	0
AK5	15
AK7	0
AK8	1
AKAP1	0
AKAP10	0
AKAP11	1
AKAP12	22
AKAP13	27
AKAP14	0
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	103
AKAP6	0
AKAP7	14
AKAP8	18
AKAP8L	2
AKAP9	9
AKIP1	15
AKIRIN1	11
AKIRIN2	5
AKNA	32
AKNAD1	0
AKR1A1	0
AKR1B1	0
AKR1B10	8
AKR1B15	1
AKR1C1	0
AKR1C2	1
AKR1C3	0
AKR1C4	1
AKR1CL1	0
AKR1D1	18
AKR1E2	0
AKR7A2	0
AKR7A2P1	5
AKR7A3	0
AKR7L	1
AKT1	5
AKT1S1	3
AKT2	6
AKT3	23
AKTIP	104
ALAD	0
ALAS1	0
ALAS2	8
ALB	0
ALCAM	2
ALDH16A1	5
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	4
ALDH1B1	6
ALDH1L1	0
ALDH1L2	15
ALDH2	1
ALDH3A1	0
ALDH3A2	31
ALDH3B1	42
ALDH3B2	0
ALDH4A1	0
ALDH5A1	24
ALDH6A1	6
ALDH7A1	2
ALDH8A1	12
ALDH9A1	7
ALDOA	14
ALDOB	1
ALDOC	0
ALG1	52
ALG10	0
ALG10B	6
ALG11	10
ALG12	12
ALG13	3
ALG14	2
ALG1L	16
ALG1L2	5
ALG2	0
ALG3	0
ALG5	0
ALG6	10
ALG8	0
ALG9	12
ALK	26
ALKBH1	0
ALKBH2	0
ALKBH3	0
ALKBH4	49
ALKBH5	11
ALKBH6	0
ALKBH7	0
ALKBH8	1
ALLC	0
ALMS1	1
ALMS1P	0
ALOX12	46
ALOX12B	2
ALOX12P2	1
ALOX15	9
ALOX15B	2
ALOX5	9
ALOX5AP	1
ALOXE3	0
ALPI	0
ALPK1	13
ALPK2	1
ALPK3	0
ALPL	0
ALPP	8
ALPPL2	0
ALS2	2
ALS2CL	2
ALS2CR11	8
ALS2CR12	28
ALS2CR8	20
ALX1	0
ALX3	11
ALX4	8
AMACR	3
AMBN	1
AMBP	1
AMBRA1	0
AMD1	2
AMDHD1	0
AMDHD2	2
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	1
AMIGO1	12
AMIGO2	3
AMIGO3	38
AMMECR1	30
AMMECR1L	0
AMN	0
AMN1	8
AMOT	0
AMOTL1	6
AMOTL2	0
AMPD1	0
AMPD2	3
AMPD3	12
AMPH	28
AMT	90
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	16
AMZ2	1
AMZ2P1	0
ANAPC1	0
ANAPC10	0
ANAPC11	4
ANAPC13	9
ANAPC16	115
ANAPC2	1
ANAPC4	0
ANAPC5	6
ANAPC7	0
ANG	0
ANGEL1	0
ANGEL2	16
ANGPT1	0
ANGPT2	96
ANGPT4	1
ANGPTL1	59
ANGPTL2	10
ANGPTL3	9
ANGPTL4	4
ANGPTL5	0
ANGPTL6	73
ANGPTL7	18
ANK1	1
ANK2	0
ANK3	2
ANKAR	4
ANKDD1A	25
ANKDD1B	0
ANKFN1	0
ANKFY1	8
ANKH	223
ANKHD1	14
ANKIB1	0
ANKK1	13
ANKLE1	44
ANKLE2	3
ANKMY1	1
ANKMY2	1
ANKRA2	0
ANKRD1	0
ANKRD10	1
ANKRD11	21
ANKRD12	33
ANKRD13A	7
ANKRD13B	2
ANKRD13C	1
ANKRD13D	3
ANKRD16	40
ANKRD17	3
ANKRD18A	2
ANKRD19P	34
ANKRD2	0
ANKRD20A3	2
ANKRD20A4	0
