gene symbol	(count) FRA_49_FW_992
A1BG	30
A1BG-AS1	12
A1CF	5
A2M	1083
A2ML1	83
A2MP1	76
A4GALT	0
A4GNT	2
AA06	0
AAAS	3
AACS	0
AACSP1	0
AADAC	0
AADACL2	1
AADACL3	0
AADACL4	0
AADAT	1
AAGAB	19
AAK1	170
AAMP	3
AANAT	20
AARS	4
AARS2	89
AARSD1	52
AASDH	0
AASDHPPT	0
AASS	34
AATF	2
AATK	5
AATK-AS1	0
ABAT	3
ABCA1	7
ABCA10	19
ABCA11P	71
ABCA12	1
ABCA13	25
ABCA17P	1
ABCA2	1
ABCA3	9
ABCA4	1
ABCA6	1
ABCA7	5
ABCA8	0
ABCA9	72
ABCB1	1
ABCB10	1
ABCB11	0
ABCB4	16
ABCB5	52
ABCB6	13
ABCB7	0
ABCB8	3
ABCB9	4
ABCC1	12
ABCC10	2
ABCC11	0
ABCC12	0
ABCC13	17
ABCC2	0
ABCC3	4
ABCC4	1
ABCC5	0
ABCC6	33
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	441
ABCD1	4
ABCD2	0
ABCD3	32
ABCD4	0
ABCE1	21
ABCF1	16
ABCF2	17
ABCF3	1
ABCG1	7
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	79
ABHD10	1
ABHD11	67
ABHD12	12
ABHD12B	25
ABHD13	1
ABHD14A	6
ABHD14B	1
ABHD15	78
ABHD16A	2
ABHD16B	116
ABHD2	61
ABHD3	1
ABHD4	1
ABHD5	0
ABHD6	0
ABHD8	8
ABI1	19
ABI2	92
ABI3	15
ABI3BP	28
ABL1	2
ABL2	87
ABLIM1	7
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	1
ABR	67
ABRA	41
ABT1	6
ABTB1	3
ABTB2	18
ACAA1	14
ACAA2	3
ACACA	44
ACACB	16
ACAD10	0
ACAD11	64
ACAD8	37
ACAD9	0
ACADL	0
ACADM	3
ACADS	1
ACADSB	433
ACADVL	88
ACAN	34
ACAP1	12
ACAP2	39
ACAP3	3
ACAT1	93
ACAT2	77
ACBD3	9
ACBD4	57
ACBD5	25
ACBD6	6
ACBD7	198
ACCS	0
ACCSL	0
ACD	22
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	2
ACHE	0
ACIN1	69
ACLY	10
ACMSD	25
ACN9	0
ACO1	56
ACO2	126
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	315
ACOT2	35
ACOT4	2
ACOT6	0
ACOT7	4
ACOT8	11
ACOT9	1
ACOX1	50
ACOX2	3
ACOX3	0
ACOXL	5
ACP1	0
ACP2	19
ACP5	3
ACP6	0
ACPL2	0
ACPP	5
ACPT	32
ACR	0
ACRBP	1
ACRC	1
ACRV1	0
ACSBG1	3
ACSBG2	7
ACSF2	0
ACSF3	5
ACSL1	3
ACSL3	0
ACSL4	2
ACSL5	72
ACSL6	31
ACSM1	10
ACSM2A	0
ACSM2B	0
ACSM3	22
ACSM4	1
ACSM5	0
ACSS1	10
ACSS2	4
ACSS3	1
ACTA1	1
ACTA2	87
ACTB	128
ACTBL2	0
ACTC1	0
ACTG1	50
ACTG2	0
ACTL6A	19
ACTL6B	2
ACTL7A	17
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	17
ACTN2	0
ACTN3	0
ACTN4	56
ACTR10	11
ACTR1A	16
ACTR1B	1
ACTR2	8
ACTR3	15
ACTR3B	1
ACTR3BP2	1
ACTR3C	1
ACTR5	0
ACTR6	2
ACTR8	2
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	4
ACVR1C	0
ACVR2A	120
ACVR2B	8
ACVRL1	6
ACY3	0
ACYP1	0
ACYP2	8
ADA	10
ADAD1	2
ADAD2	0
ADAL	2
ADAM10	2
ADAM11	1
ADAM12	16
ADAM15	3
ADAM17	109
ADAM18	1
ADAM19	4
ADAM2	0
ADAM20	1
ADAM21	11
ADAM21P1	0
ADAM22	83
ADAM23	0
ADAM28	51
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	9
ADAM3A	0
ADAM6	0
ADAM7	1
ADAM8	10
ADAM9	0
ADAMDEC1	7
ADAMTS1	1
ADAMTS10	3
ADAMTS12	0
ADAMTS13	9
ADAMTS14	0
ADAMTS15	0
ADAMTS16	1
ADAMTS17	21
ADAMTS18	0
ADAMTS19	0
ADAMTS2	9
ADAMTS20	0
ADAMTS3	0
ADAMTS4	55
ADAMTS5	0
ADAMTS6	0
ADAMTS7	14
ADAMTS8	2
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	32
ADAMTSL3	0
ADAMTSL4	355
ADAMTSL5	4
ADAP1	5
ADAP2	2
ADAR	78
ADARB1	1
ADARB2	11
ADAT1	103
ADAT2	15
ADC	2
ADCK1	0
ADCK2	6
ADCK3	7
ADCK4	1
ADCK5	3
ADCY1	67
ADCY10	2
ADCY2	13
ADCY3	60
ADCY4	1
ADCY5	20
ADCY6	28
ADCY7	247
ADCY8	0
ADCY9	1
ADCYAP1	0
ADCYAP1R1	0
ADD1	25
ADD2	1
ADD3	6
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	10
ADH5	35
ADH6	6
ADH7	0
ADHFE1	2
ADI1	3
ADIG	0
ADIPOQ	61
ADIPOR1	8
ADIPOR2	10
ADK	0
ADM	1
ADM2	48
ADNP	199
ADNP2	0
ADO	17
ADORA1	0
ADORA2A	3
ADORA2B	44
ADORA3	0
ADPGK	32
ADPRH	2
ADPRHL1	0
ADPRHL2	4
ADRA1A	57
ADRA1B	0
ADRA1D	0
ADRA2A	1
ADRA2B	0
ADRA2C	0
ADRB1	2
ADRB2	2
ADRB3	0
ADRBK1	31
ADRBK2	78
ADRM1	8
ADSL	0
ADSS	13
ADSSL1	0
AEBP1	19
AEBP2	5
AEN	4
AES	22
AFAP1	3
AFAP1-AS1	57
AFAP1L1	4
AFAP1L2	0
AFF1	30
AFF2	1
AFF3	60
AFF4	20
AFG3L1P	2
AFG3L2	12
AFM	0
AFMID	38
AFP	0
AFTPH	7
AGA	7
AGAP1	0
AGAP2	7
AGAP3	8
AGAP4	0
AGAP5	0
AGAP6	0
AGAP7	1
AGAP8	0
AGAP9	0
AGBL1	0
AGBL2	1
AGBL3	12
AGBL4	0
AGBL5	773
AGER	14
AGFG1	0
AGFG2	3
AGGF1	24
AGK	195
AGL	1
AGMAT	97
AGMO	36
AGPAT1	6
AGPAT2	0
AGPAT3	4
AGPAT4	179
AGPAT5	1
AGPAT6	10
AGPAT9	0
AGPHD1	0
AGPS	0
AGR2	2
AGR3	0
AGRN	0
AGRP	12
AGT	0
AGTPBP1	3
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	93
AHCTF1	2
AHCY	2
AHCYL1	2
AHCYL2	50
AHDC1	8
AHI1	35
AHNAK	173
AHNAK2	56
AHR	45
AHSA1	3
AHSA2	52
AHSG	0
AHSP	0
AICDA	54
AIDA	84
AIF1	0
AIF1L	1
AIFM1	37
AIFM2	27
AIFM3	1
AIG1	0
AIM1	107
AIM1L	30
AIM2	7
AIMP1	65
AIMP2	45
AIP	7
AIPL1	60
AIRE	30
AJAP1	0
AK1	67
AK2	3
AK3	57
AK4	5
AK5	56
AK7	0
AK8	0
AKAP1	2
AKAP10	1
AKAP11	2
AKAP12	34
AKAP13	65
AKAP14	4
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	295
AKAP6	1
AKAP7	78
AKAP8	40
AKAP8L	20
AKAP9	20
AKIP1	32
AKIRIN1	23
AKIRIN2	9
AKNA	69
AKNAD1	0
AKR1A1	1
AKR1B1	0
AKR1B10	20
AKR1B15	4
AKR1C1	1
AKR1C2	1
AKR1C3	4
AKR1C4	8
AKR1CL1	0
AKR1D1	38
AKR1E2	0
AKR7A2	1
AKR7A2P1	7
AKR7A3	0
AKR7L	0
AKT1	20
AKT1S1	4
AKT2	12
AKT3	56
AKTIP	337
ALAD	1
ALAS1	1
ALAS2	5
ALB	0
ALCAM	5
ALDH16A1	6
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	8
ALDH1B1	15
ALDH1L1	0
ALDH1L2	47
ALDH2	1
ALDH3A1	0
ALDH3A2	46
ALDH3B1	44
ALDH3B2	0
ALDH4A1	1
ALDH5A1	35
ALDH6A1	11
ALDH7A1	1
ALDH8A1	18
ALDH9A1	15
ALDOA	15
ALDOB	3
ALDOC	0
ALG1	100
ALG10	0
ALG10B	10
ALG11	24
ALG12	25
ALG13	3
ALG14	1
ALG1L	52
ALG1L2	8
ALG2	1
ALG3	0
ALG5	0
ALG6	9
ALG8	3
ALG9	33
ALK	63
ALKBH1	1
ALKBH2	0
ALKBH3	0
ALKBH4	63
ALKBH5	17
ALKBH6	1
ALKBH7	1
ALKBH8	1
ALLC	0
ALMS1	5
ALMS1P	0
ALOX12	87
ALOX12B	14
ALOX12P2	14
