gene symbol	(count) FRA_49_MW_1194
A1BG	24
A1BG-AS1	10
A1CF	8
A2M	341
A2ML1	38
A2MP1	16
A4GALT	0
A4GNT	0
AA06	0
AAAS	0
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	1
AAGAB	10
AAK1	94
AAMP	0
AANAT	17
AARS	3
AARS2	48
AARSD1	33
AASDH	0
AASDHPPT	2
AASS	15
AATF	2
AATK	0
AATK-AS1	0
ABAT	0
ABCA1	5
ABCA10	7
ABCA11P	36
ABCA12	3
ABCA13	10
ABCA17P	4
ABCA2	3
ABCA3	4
ABCA4	0
ABCA6	0
ABCA7	4
ABCA8	0
ABCA9	44
ABCB1	0
ABCB10	1
ABCB11	0
ABCB4	6
ABCB5	28
ABCB6	5
ABCB7	0
ABCB8	2
ABCB9	5
ABCC1	2
ABCC10	1
ABCC11	0
ABCC12	0
ABCC13	9
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	0
ABCC6	13
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	272
ABCD1	3
ABCD2	1
ABCD3	8
ABCD4	0
ABCE1	10
ABCF1	9
ABCF2	5
ABCF3	1
ABCG1	5
ABCG2	1
ABCG4	0
ABCG5	1
ABCG8	2
ABHD1	32
ABHD10	0
ABHD11	25
ABHD12	6
ABHD12B	16
ABHD13	2
ABHD14A	2
ABHD14B	0
ABHD15	38
ABHD16A	2
ABHD16B	84
ABHD2	27
ABHD3	2
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	0
ABI1	12
ABI2	42
ABI3	5
ABI3BP	29
ABL1	2
ABL2	58
ABLIM1	0
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	18
ABRA	29
ABT1	4
ABTB1	0
ABTB2	22
ACAA1	4
ACAA2	2
ACACA	20
ACACB	6
ACAD10	0
ACAD11	35
ACAD8	11
ACAD9	0
ACADL	0
ACADM	0
ACADS	0
ACADSB	231
ACADVL	41
ACAN	30
ACAP1	9
ACAP2	16
ACAP3	0
ACAT1	75
ACAT2	49
ACBD3	5
ACBD4	34
ACBD5	14
ACBD6	1
ACBD7	104
ACCS	1
ACCSL	2
ACD	10
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	1
ACHE	0
ACIN1	22
ACLY	6
ACMSD	7
ACN9	0
ACO1	64
ACO2	105
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	180
ACOT2	17
ACOT4	0
ACOT6	0
ACOT7	0
ACOT8	15
ACOT9	1
ACOX1	30
ACOX2	3
ACOX3	0
ACOXL	1
ACP1	0
ACP2	8
ACP5	14
ACP6	1
ACPL2	0
ACPP	5
ACPT	18
ACR	0
ACRBP	3
ACRC	0
ACRV1	1
ACSBG1	3
ACSBG2	6
ACSF2	0
ACSF3	1
ACSL1	0
ACSL3	3
ACSL4	1
ACSL5	40
ACSL6	23
ACSM1	8
ACSM2A	0
ACSM2B	0
ACSM3	5
ACSM4	2
ACSM5	0
ACSS1	5
ACSS2	5
ACSS3	0
ACTA1	4
ACTA2	70
ACTB	20
ACTBL2	0
ACTC1	0
ACTG1	18
ACTG2	0
ACTL6A	18
ACTL6B	1
ACTL7A	4
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	8
ACTN2	0
ACTN3	0
ACTN4	20
ACTR10	3
ACTR1A	4
ACTR1B	1
ACTR2	2
ACTR3	8
ACTR3B	0
ACTR3BP2	2
ACTR3C	4
ACTR5	0
ACTR6	0
ACTR8	1
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	2
ACVR1C	0
ACVR2A	94
ACVR2B	6
ACVRL1	8
ACY3	0
ACYP1	0
ACYP2	2
ADA	2
ADAD1	0
ADAD2	2
ADAL	0
ADAM10	1
ADAM11	2
ADAM12	4
ADAM15	4
ADAM17	66
ADAM18	0
ADAM19	0
ADAM2	0
ADAM20	0
ADAM21	7
ADAM21P1	0
ADAM22	50
ADAM23	0
ADAM28	48
ADAM29	0
