gene symbol	(count) NOR_48_FW_1291
A1BG	11
A1BG-AS1	6
A1CF	5
A2M	448
A2ML1	29
A2MP1	36
A4GALT	0
A4GNT	0
AA06	0
AAAS	2
AACS	0
AACSP1	0
AADAC	0
AADACL2	1
AADACL3	0
AADACL4	0
AADAT	0
AAGAB	8
AAK1	44
AAMP	1
AANAT	8
AARS	1
AARS2	17
AARSD1	8
AASDH	0
AASDHPPT	0
AASS	11
AATF	0
AATK	5
AATK-AS1	0
ABAT	0
ABCA1	2
ABCA10	2
ABCA11P	19
ABCA12	4
ABCA13	5
ABCA17P	1
ABCA2	0
ABCA3	0
ABCA4	4
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	29
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	4
ABCB5	15
ABCB6	3
ABCB7	0
ABCB8	0
ABCB9	3
ABCC1	1
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	4
ABCC2	0
ABCC3	1
ABCC4	0
ABCC5	0
ABCC6	5
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	156
ABCD1	1
ABCD2	0
ABCD3	7
ABCD4	0
ABCE1	6
ABCF1	8
ABCF2	1
ABCF3	0
ABCG1	2
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	14
ABHD10	0
ABHD11	15
ABHD12	1
ABHD12B	2
ABHD13	0
ABHD14A	5
ABHD14B	0
ABHD15	22
ABHD16A	0
ABHD16B	41
ABHD2	33
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	1
ABI1	8
ABI2	19
ABI3	7
ABI3BP	7
ABL1	1
ABL2	36
ABLIM1	0
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	18
ABRA	14
ABT1	1
ABTB1	0
ABTB2	2
ACAA1	3
ACAA2	1
ACACA	20
ACACB	7
ACAD10	0
ACAD11	16
ACAD8	14
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	107
ACADVL	17
ACAN	7
ACAP1	3
ACAP2	7
ACAP3	0
ACAT1	16
ACAT2	15
ACBD3	3
ACBD4	18
ACBD5	7
ACBD6	2
ACBD7	55
ACCS	1
ACCSL	1
ACD	3
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	14
ACLY	0
